Seniority,Function,Subject Line,Hook 1,Z_Contact Status,Email Opened,Email Replied
VP,Distribution,Collaboration conversation distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Supply Chain,your experience at DG,Impressed by your experience at DG and thought it made sense for us to connect. ,Unresponsive,9/14/2022,
Director,Distribution,Your distribution career ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/14/2022,
Director,Distribution,Your extensive career in distribution,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your warehouse automation experience,"Not usually a fan of cold email, but felt compelled to reach out after coming across your profile. Currently looking to source feedback on the project I'm working on from Sr supply chain professionals - would love to connect.",Unresponsive,,
Director,Distribution,Your distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your career in distribution ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your extensive distribution experience ,Really impressed with your experience in supply chain over the years - I’m in the process of conducting interviews regarding a current initiative of mine and would be thrilled at the opportunity to connect.,Unresponsive,,
Director,Distribution,Your impressive distribution expertise ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
Director,Distribution,Your 7+ years of distribution experience at DG,"Super impressed with your distribution career at Dollar General and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,,
VP,Distribution,Your Distribution & Operations expertise ,"You have quite a unique and accomplished career to day in Distribution, Kevin. It's why I'm reaching out 1:1 to you in particular re: your experience at Dollar Tree Stores.",Attempting to Contact,,
Director,Distribution,Your 25+ years of distribution & operations career,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive distribution & operations background in the wine industry, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Unresponsive,9/2/2022,
Sr. Manager,Supply Chain,Your Lean Manufacturing experience ,Came across your profile and was impressed with 12+ years of career at E. & J. Gallo Winery & extensive experience with Lean Manufacturing. Had to reach out!,Unresponsive,11/18/2022,
Director,Warehouse Operations,Your 15+ years warehouse operations experience in the wine industry ,"I've been working on a potential software solution that I think might finally be approaching market-ready status, but am trying to gather feedback first. Given your extensive warehouse operation background, you'd be an ideal connection to contribute - I'd be grateful for a moment of your time.",Attempting to Contact,,
Director,Distribution,7+ years at Electrolux ,Impressed by your experience at Electrolux and thought it made sense for us to connect. ,Unresponsive,,
Director,Supply Chain,Veteran & Supply chain expert ,Extremely impressed with your background - curious about how you feel working in the private sector after four years with the military. I'd value a chance to connect.,Unresponsive,8/29/2022,
Director,Distribution,Your 36+ years of distribution & logistics experience ,"Not usually a fan of cold email, but felt compelled to reach out after coming across your 36+ years of experience in distribution & logistics. Currently looking to source feedback on the project I'm working on from Sr. experienced distribution & logistics professionals - would love to connect.",Attempting to Contact,,
Director,Distribution,Your distribution experience ,"Super impressed with your career and would be delighted to connect! I know this is a long shot, but I'd be grateful for your opinion on a passion project of mine.",Unresponsive,9/8/2022,
Director,Distribution,Veteran + distribution expert ,Extremely impressed with your background in distribution & global business processes - curious about how you feel working in the private sector after twenty years with the military. I'd value a chance to connect.,Attempting to Contact,8/15/2022,
